date,class,name
2018-01-01,christmas,New Year's Day
2018-01-13,bihu_magh,Magh Bihu
2018-01-14,bihu_magh,Magh Bihu
2018-01-15,bihu_magh,Magh Bihu
2018-01-26,public,Republic Day
2018-02-13,public,Maha Shivaratri
2018-03-02,holi,Holi
2018-03-29,public,Mahavir Jayanti
2018-03-30,public,Good Friday
2018-04-13,bihu_bohag,Bohag Bihu
2018-04-14,bihu_bohag,Bohag Bihu
2018-04-14,public,Dr. B. R. Ambedkar's Jayanti
2018-04-15,bihu_bohag,Bohag Bihu
2018-04-16,bihu_bohag,Bohag Bihu
2018-04-30,public,Buddha Purnima
2018-06-15,eid,Id-ul-Fitr
2018-06-16,eid,Id-ul-Fitr
2018-06-17,eid,Id-ul-Fitr
2018-07-27,shravan,Shravan (approx)
2018-07-28,shravan,Shravan (approx)
2018-07-29,shravan,Shravan (approx)
2018-07-30,shravan,Shravan (approx)
2018-07-31,shravan,Shravan (approx)
2018-08-01,shravan,Shravan (approx)
2018-08-02,shravan,Shravan (approx)
2018-08-03,shravan,Shravan (approx)
2018-08-04,shravan,Shravan (approx)
2018-08-05,shravan,Shravan (approx)
2018-08-06,shravan,Shravan (approx)
2018-08-07,shravan,Shravan (approx)
2018-08-08,shravan,Shravan (approx)
2018-08-09,shravan,Shravan (approx)
2018-08-10,shravan,Shravan (approx)
2018-08-11,shravan,Shravan (approx)
2018-08-12,shravan,Shravan (approx)
2018-08-13,shravan,Shravan (approx)
2018-08-14,shravan,Shravan (approx)
2018-08-15,public,Independence Day
2018-08-15,shravan,Shravan (approx)
2018-08-16,shravan,Shravan (approx)
2018-08-17,shravan,Shravan (approx)
2018-08-18,shravan,Shravan (approx)
2018-08-19,shravan,Shravan (approx)
2018-08-20,shravan,Shravan (approx)
2018-08-21,eid,Id-ul-Zuha (Bakrid)
2018-08-21,shravan,Shravan (approx)
2018-08-22,eid,Id-ul-Zuha (Bakrid)
2018-08-22,shravan,Shravan (approx)
2018-08-23,eid,Id-ul-Zuha (Bakrid)
2018-08-23,shravan,Shravan (approx)
2018-08-24,shravan,Shravan (approx)
2018-08-25,shravan,Shravan (approx)
2018-09-03,public,Janmashtami (Vaishnava)
2018-09-21,public,Muharram
2018-10-02,public,Mahatma Gandhi's Jayanti
2018-10-10,navratri,Sharad Navratri
2018-10-11,navratri,Sharad Navratri
2018-10-12,navratri,Sharad Navratri
2018-10-13,navratri,Sharad Navratri
2018-10-14,durga_puja,Durga Puja
2018-10-14,navratri,Sharad Navratri
2018-10-15,durga_puja,Durga Puja
2018-10-15,navratri,Sharad Navratri
2018-10-16,durga_puja,Durga Puja
2018-10-16,navratri,Sharad Navratri
2018-10-17,bihu_kati,Kati Bihu
2018-10-17,durga_puja,Durga Puja
2018-10-17,navratri,Sharad Navratri
2018-10-18,bihu_kati,Kati Bihu
2018-10-18,durga_puja,Durga Puja
2018-10-18,navratri,Sharad Navratri
2018-10-19,durga_puja,Dussehra
2018-11-05,diwali,Diwali week
2018-11-06,diwali,Diwali week
2018-11-07,diwali,Diwali (Deepavali)
2018-11-08,diwali,Diwali week
2018-11-21,public,Milad-un-Nabi
2018-11-23,public,Guru Nanak's Jayanti
2018-12-02,public,Assam Day
2018-12-24,christmas,Christmas–New Year
2018-12-25,christmas,Christmas
2018-12-26,christmas,Christmas–New Year
2018-12-27,christmas,Christmas–New Year
2018-12-28,christmas,Christmas–New Year
2018-12-29,christmas,Christmas–New Year
2018-12-30,christmas,Christmas–New Year
2018-12-31,christmas,Christmas–New Year
2019-01-01,christmas,New Year's Day
2019-01-14,bihu_magh,Magh Bihu
2019-01-15,bihu_magh,Magh Bihu
2019-01-16,bihu_magh,Magh Bihu
2019-01-26,public,Republic Day
2019-03-04,public,Maha Shivaratri
2019-03-21,holi,Holi
2019-04-05,navratri,Chaitra Navratri
2019-04-06,navratri,Chaitra Navratri
2019-04-07,navratri,Chaitra Navratri
2019-04-08,navratri,Chaitra Navratri
2019-04-09,navratri,Chaitra Navratri
2019-04-10,navratri,Chaitra Navratri
2019-04-11,navratri,Chaitra Navratri
2019-04-12,navratri,Chaitra Navratri
2019-04-13,bihu_bohag,Bohag Bihu
2019-04-13,navratri,Chaitra Navratri
2019-04-13,public,Ram Navami
2019-04-14,bihu_bohag,Bohag Bihu
2019-04-14,public,Dr. B. R. Ambedkar's Jayanti
2019-04-15,bihu_bohag,Bohag Bihu
2019-04-16,bihu_bohag,Bohag Bihu
2019-04-17,public,Mahavir Jayanti
2019-04-19,public,Good Friday
2019-05-18,public,Buddha Purnima
2019-06-04,eid,Id-ul-Fitr
2019-06-05,eid,Id-ul-Fitr
2019-06-06,eid,Id-ul-Fitr
2019-07-17,shravan,Shravan (approx)
2019-07-18,shravan,Shravan (approx)
2019-07-19,shravan,Shravan (approx)
2019-07-20,shravan,Shravan (approx)
2019-07-21,shravan,Shravan (approx)
2019-07-22,shravan,Shravan (approx)
2019-07-23,shravan,Shravan (approx)
2019-07-24,shravan,Shravan (approx)
2019-07-25,shravan,Shravan (approx)
2019-07-26,shravan,Shravan (approx)
2019-07-27,shravan,Shravan (approx)
2019-07-28,shravan,Shravan (approx)
2019-07-29,shravan,Shravan (approx)
2019-07-30,shravan,Shravan (approx)
2019-07-31,shravan,Shravan (approx)
2019-08-01,shravan,Shravan (approx)
2019-08-02,shravan,Shravan (approx)
2019-08-03,shravan,Shravan (approx)
2019-08-04,shravan,Shravan (approx)
2019-08-05,shravan,Shravan (approx)
2019-08-06,shravan,Shravan (approx)
2019-08-07,shravan,Shravan (approx)
2019-08-08,shravan,Shravan (approx)
2019-08-09,shravan,Shravan (approx)
2019-08-10,shravan,Shravan (approx)
2019-08-11,eid,Id-ul-Zuha (Bakrid)
2019-08-11,shravan,Shravan (approx)
2019-08-12,eid,Id-ul-Zuha (Bakrid)
2019-08-12,shravan,Shravan (approx)
2019-08-13,eid,Id-ul-Zuha (Bakrid)
2019-08-13,shravan,Shravan (approx)
2019-08-14,shravan,Shravan (approx)
2019-08-15,public,Independence Day
2019-08-15,shravan,Shravan (approx)
2019-08-24,public,Janmashtami (Vaishnava)
2019-09-10,public,Muharram
2019-09-29,navratri,Sharad Navratri
2019-09-30,navratri,Sharad Navratri
2019-10-01,navratri,Sharad Navratri
2019-10-02,navratri,Sharad Navratri
2019-10-02,public,Mahatma Gandhi's Jayanti
2019-10-03,durga_puja,Durga Puja
2019-10-03,navratri,Sharad Navratri
2019-10-04,durga_puja,Durga Puja
2019-10-04,navratri,Sharad Navratri
2019-10-05,durga_puja,Durga Puja
2019-10-05,navratri,Sharad Navratri
2019-10-06,durga_puja,Durga Puja
2019-10-06,navratri,Sharad Navratri
2019-10-07,durga_puja,Durga Puja
2019-10-07,navratri,Sharad Navratri
2019-10-08,durga_puja,Dussehra
